sigma_ref_px,condition,ROI_ID,candidate_ID,center_x,center_y,tangent_angle_deg,normal_angle_deg,Direction,channel,filter_method,smoothing_sigma_ref_px,half_level,valid,flag,FWHM,edge_width,CNR,peak_to_noise,background,background_SD,max_gradient,x50_left,x50_right,n_profiles_averaged,within_stack_SD_median,unit
0.75,NIR,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.75,0.5,True,,5.331002478108246,9.15923910467452,5.994831786222186,7.88573506517232,-7.054145812988281,0.1601038923740387,0.379849223260065,-6.177551417333347,-0.8465489392251003,11,0.531012773513794,common-reference-grid apparent pixels
0.75,UV,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.75,0.5,True,,19.569731536449027,13.28868359407098,4.2751654483807515,5.704210775932358,8.918032169342041,1.5180352942060042,0.12245127190403138,-12.879241858767129,6.690489677681897,11,1.8061444759368896,common-reference-grid apparent pixels
0.75,NIR,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,0.75,0.5,True,,8.586416821907545,14.879716296125887,5.174296550829333,5.736730225565758,-7.282137632369995,0.45992333965301513,0.24389747847162613,-5.304364075747006,3.2820527461605384,11,0.6687445640563965,common-reference-grid apparent pixels
1.0,UV,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,1.0,0.5,True,,14.354380849899336,11.949112094936986,5.469145856334848,7.0471210020523705,2.2648686170578003,1.8081550441503524,0.12838990399332761,-7.586429555456669,6.767951294442667,11,0.6644916534423828,common-reference-grid apparent pixels
1.0,NIR,M4_002,M4_002,23.0,213.0,86.8788277891761,176.8788277891761,X,Lab_a,gaussian,1.0,0.5,True,,4.889704436685036,17.85941927662729,3.096992324508106,4.920709782558599,-7.054714918136597,0.18118222160339353,0.2991462116261945,-4.24006320837292,0.6496412283121161,11,0.48795220255851746,common-reference-grid apparent pixels
1.0,UV,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,1.0,0.5,True,,13.591361419435223,14.126983160984965,5.444907753466141,6.959099163742969,5.576129913330078,1.1072918486595154,0.11775934142670863,-6.984572978551519,6.606788440883705,11,0.8669400811195374,common-reference-grid apparent pixels
1.0,NIR,M4_005,M4_005,71.0,231.0,78.8274711439505,168.8274711439505,X,Lab_a,gaussian,1.0,0.5,True,,4.653070955520709,4.912276946458793,3.9887640207825297,8.676728767535595,-7.141342639923096,0.17853536796569824,0.29194234819632303,-3.472688322343779,1.1803826331769298,11,0.5134333372116089,common-reference-grid apparent pixels
1.0,UV,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,1.0,0.5,True,,12.264371424317169,10.574793640497562,6.361981225217016,17.207875325556767,0.42970047891139984,0.5758887416861951,0.12391824831325327,-8.387263168805951,3.877108255511217,11,0.6720139384269714,common-reference-grid apparent pixels
1.0,NIR,M4_008,M4_008,221.0,238.0,98.244480809726,8.244480809726014,X,Lab_a,gaussian,1.0,0.5,True,,8.111048395345165,8.486972148566592,5.137141317512339,9.466934970301493,-7.468721866607666,0.26674149782802337,0.2585452495995155,-4.070660633356188,4.040387761988977,11,0.672017514705658,common-reference-grid apparent pixels
1.0,UV,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,1.0,0.5,True,,13.574674594454045,12.265002355241059,5.303776413878908,9.850998276249943,6.265641927719116,0.7300292786942622,0.12715131220362252,-10.865550420979622,2.709124173474423,11,0.8900915384292603,common-reference-grid apparent pixels
1.0,NIR,M4_010,M4_010,76.13637941650013,233.06477771654028,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,1.0,0.5,True,,5.639235078194855,4.090579327833003,5.164940519974037,7.639599667280521,-7.054145812988281,0.1601038923740387,0.30897028800041304,-6.285478118716227,-0.6462430405213724,11,0.531012773513794,common-reference-grid apparent pixels
1.0,UV,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,1.0,0.5,True,,19.72999478227168,13.317879714846823,4.239674228162059,5.672234114398941,8.918032169342041,1.5180352942060042,0.10843368508048923,-13.017508737006498,6.7124860452651856,11,1.8061444759368896,common-reference-grid apparent pixels
1.0,NIR,M4_011,M4_011,75.0,243.0,96.52506984715448,6.5250698471544695,X,Lab_a,gaussian,1.0,0.5,True,,8.836611947045295,14.740596948150632,5.034482440198063,5.614864436707619,-7.282137632369995,0.45992333965301513,0.2038682364665465,-5.455018747560165,3.38159319948513,11,0.6687445640563965,common-reference-grid apparent pixels
