condition,ROI_ID,channel,distance_reference_px,raw_mean,filtered,normalized,profile_stack_SD
UV,M4_002,Lab_a,15.79999999999987,0.4413188695907593,0.6969988141501999,-0.12263749679103066,0.49675264954566956
UV,M4_002,Lab_a,15.999999999999865,0.32347995042800903,0.6048976520979963,-0.12984157454332917,0.5096146464347839
UV,M4_002,Lab_a,16.19999999999986,0.26021793484687805,0.5397244537996753,-0.13493936894076525,0.541551411151886
UV,M4_002,Lab_a,16.399999999999864,0.2740098834037781,0.4997701035989973,-0.13806456561553795,0.5079849362373352
UV,M4_002,Lab_a,16.599999999999866,0.3382597863674164,0.4815493374972248,-0.13948977907407403,0.4727362394332886
UV,M4_002,Lab_a,16.799999999999862,0.41639822721481323,0.4802399193256945,-0.13959220069512404,0.48497888445854187
UV,M4_002,Lab_a,16.999999999999858,0.5139761567115784,0.49041914321789853,-0.13879599010729315,0.5101348161697388
UV,M4_002,Lab_a,17.19999999999986,0.5843215584754944,0.5069292915135646,-0.13750457977789318,0.545873761177063
UV,M4_002,Lab_a,17.399999999999864,0.6023643612861633,0.5256595189249532,-0.1360395166713778,0.5774974226951599
UV,M4_002,Lab_a,17.59999999999986,0.606642484664917,0.5440811490334455,-0.13459859179411687,0.6326655745506287
UV,M4_002,Lab_a,17.799999999999855,0.5885056257247925,0.5614391180884319,-0.1332408656166422,0.686238706111908
UV,M4_002,Lab_a,17.999999999999858,0.5779083371162415,0.5785903631863261,-0.1318993092184295,0.6823437809944153
UV,M4_002,Lab_a,18.19999999999986,0.5669405460357666,0.5975652832253064,-0.13041510645422355,0.6668621897697449
UV,M4_002,Lab_a,18.399999999999856,0.5485318899154663,0.6209532099351152,-0.12858572190870585,0.6644916534423828
UV,M4_002,Lab_a,18.599999999999852,0.5555264949798584,0.651228694483433,-0.12621759820847533,0.6822628974914551
UV,M4_002,Lab_a,18.799999999999855,0.5549332499504089,0.6901257033738359,-0.12317510590832954,0.6934849619865417
UV,M4_002,Lab_a,18.999999999999858,0.6076416373252869,0.7381468544557775,-0.11941893065015965,0.6653741598129272
UV,M4_002,Lab_a,19.199999999999854,0.7087989449501038,0.7942793856237556,-0.11502828985956653,0.6353057622909546
UV,M4_002,Lab_a,19.39999999999985,0.8116607666015625,0.8559341253190926,-0.11020570642341859,0.6256882548332214
UV,M4_002,Lab_a,19.599999999999852,0.9360786080360413,0.9191270904698996,-0.10526280424714998,0.6358884572982788
UV,M4_002,Lab_a,19.799999999999855,1.054336428642273,0.9788643032447046,-0.10059020820225568,0.650427520275116
UV,M4_002,Lab_a,19.99999999999985,1.1416759490966797,1.029678759294908,-0.09661554290846787,0.6762374639511108
UV,M4_002,Lab_a,20.199999999999847,1.23323392868042,1.0662613256124287,-0.0937540844180673,0.6907204985618591
UV,M4_002,Lab_a,20.39999999999985,1.2815320491790771,1.084126995960497,-0.09235664625967069,0.6098273992538452
UV,M4_002,Lab_a,20.599999999999852,1.324622631072998,1.0802461224827082,-0.09266020501677928,0.525902509689331
UV,M4_002,Lab_a,20.799999999999848,1.30441415309906,1.0535590229333676,-0.09474764817007858,0.4839434325695038
UV,M4_002,Lab_a,20.999999999999844,1.2178692817687988,1.0052766354673988,-0.09852425712506972,0.5417789220809937
UV,M4_002,Lab_a,21.199999999999847,1.0934641361236572,0.9388668049651577,-0.1037187798845539,0.6843458414077759
UV,M4_002,Lab_a,21.39999999999985,0.9283663034439087,0.8596716990820855,-0.10991335645308607,0.8020298480987549
UV,M4_002,Lab_a,21.599999999999845,0.7473199963569641,0.7741758357249798,-0.11660077313058002,0.9116348624229431
UV,M4_002,Lab_a,21.79999999999984,0.5635867714881897,0.6890469900047792,-0.12325948198795732,1.037031650543213
UV,M4_002,Lab_a,21.999999999999844,0.36506497859954834,0.610155335272442,-0.1294303228550585,1.1468816995620728
NIR,M4_002,Lab_a,-22.0,-7.114973068237305,-7.116394271426871,-0.06410072705630325,0.42637473344802856
NIR,M4_002,Lab_a,-21.8,-7.120187282562256,-7.115027878776306,-0.0626806933225938,0.36428821086883545
NIR,M4_002,Lab_a,-21.6,-7.159265518188477,-7.112857410230453,-0.0604250177290566,0.34377145767211914
NIR,M4_002,Lab_a,-21.400000000000002,-7.14373779296875,-7.109930470894325,-0.0573831742354558,0.3473343551158905
NIR,M4_002,Lab_a,-21.200000000000003,-7.11821174621582,-7.106374884373076,-0.053688004474984535,0.2990145683288574
NIR,M4_002,Lab_a,-21.000000000000004,-7.012975692749023,-7.102311425840845,-0.04946502494643244,0.4263814389705658
NIR,M4_002,Lab_a,-20.800000000000004,-7.066699028015137,-7.0978133050585575,-0.04479031943882556,0.40527743101119995
NIR,M4_002,Lab_a,-20.600000000000005,-7.135756969451904,-7.092929705485027,-0.039715002227862874,0.4465681314468384
NIR,M4_002,Lab_a,-20.400000000000006,-7.1212477684021,-7.087792108983091,-0.03437571681826853,0.38442277908325195
NIR,M4_002,Lab_a,-20.200000000000006,-7.123201370239258,-7.08276394239384,-0.02915015726004225,0.4167606234550476
NIR,M4_002,Lab_a,-20.000000000000007,-7.1175994873046875,-7.078512421143298,-0.02473173215152126,0.4676009714603424
NIR,M4_002,Lab_a,-19.800000000000008,-7.006674289703369,-7.075911921521587,-0.02202914356118954,0.5494920015335083
NIR,M4_002,Lab_a,-19.60000000000001,-7.050837516784668,-7.075748061111099,-0.021858850409791578,0.39619672298431396
NIR,M4_002,Lab_a,-19.40000000000001,-7.042041301727295,-7.078301964333441,-0.02451301334520899,0.4125383794307709
NIR,M4_002,Lab_a,-19.20000000000001,-6.865602493286133,-7.082988202046078,-0.02938322077304925,0.4320719838142395
NIR,M4_002,Lab_a,-19.00000000000001,-7.058592319488525,-7.088251386606383,-0.03485302450719868,0.6759089827537537
NIR,M4_002,Lab_a,-18.80000000000001,-7.228036880493164,-7.091821970739554,-0.03856378064750427,0.9113475680351257
NIR,M4_002,Lab_a,-18.600000000000012,-7.2253642082214355,-7.0913057143302805,-0.03802725733108472,0.8076038360595703
